Screen Name,Text,Language,Tweet Type
ThisOldFarmhaus,"@FLOTUS Of course you do. Lining your pockets all the way. Does the average citizen get any benefit from the billions we've sent, or is that for the Biden and Zelenskyy Families? How are the people of Ukraine doing? I want to see how they are being taken care of.",en,Reply
avlgal,"RT @KarstenStrauss : @JoriCahaya It really is impressive. He mastered and thrived on joy and laughter, then conquered fear, set aside grief and led his nation during a time of intense horror. Zelenskyy is a special man. https://t.co/jMVZexBoEp",en,Retweet
cucojose,"RT @IntlCrimCourt : 🎥 The President of #Ukraine, H.E. Mr Volodymyr Zelenskyy @ZelenskyyUa, visited the #ICC today. https://t.co/vjwJ1lDwRN",en,Retweet
madao000001,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
WStrohmacher,"RT @BSBonner : Two more areas added to United24: ""Education and Science"" and ""Demining"" – Volodymyr Zelenskyy speaking at United24 Summit — Official website of the President of Ukraine: https://t.co/ePwdVsBLoU",en,Retweet
Tamlinscathach,Misschien mag je nu wel Zelenskyy’s tasje dragen! Grote meid 👏 https://t.co/qViMptBEJ2,nl,Tweet
DMNCBIRD,"RT @RepCohen : An absolute honor to be president Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/s5ngvgTS8z",en,Retweet
Alaskacryptogi1,@strathglass7982 @TonyAdreani @AwakenedOutlaw He’s done growing. Zelenskyy will never get bigger,en,Reply
TheRealTanyaG,"RT @RepCohen : An absolute honor to met President Zelenskyy. We had a great meeting in his offices. Earlier we met with his defense minister, survivors of the horrible  mass murders at Bucha and heard their chilling testimony, and we met with civil society reps, and Parliamentarians.Successful! https://t.co/5HQCJi5RRv",en,Retweet
seichiko1530,"RT @naoyafujiwara : ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Retweet
