Screen Name,Text,Language,Tweet Type
mattysonfire,@Corvus_corone2 Zelenskyy? das kleine grüne Männchen,de,Reply
brendo5131,@DefenceU @SOF_UKR I hope Zelenskyy takes the gloves off and offers no quarter to anyone wearing a Russian uniform after this bullshit,en,Reply
scumgargler,@RayDomRad @jacksonhinklle gonzalo called zelenskyy a nazi despite him losing family in the holocaust,en,Reply
J81268990,@nexta_tv Adolf Zelenskyy,fi,Reply
deesbarbara,Zelenskyy wants Putin trial; Russia accuses US on drones (from @AP) https://t.co/BBGuvqCWVo,en,Tweet
hakanjohanson,"Ukrainas president Volodymyr Zelenskyy är exempel på en stor ledare. Han viker inte en tum från sitt förtroendeuppdrag och sviker inte Ukrainas folk.  Han står upp för 🇺🇦

🇸🇪 har Ebba Busch, som inte ens vågar debattera i tv utan flyr utomlands. 

Och skyller på sina barn ;-) https://t.co/3jQXnPUN0W",sv,Tweet
Spyderslime,@RoyBarnesDallas @AmericasImpetus Maybe he can get a loan from Zelenskyy,en,Reply
Tyr_Dyeusson,"@aamann59612126 @BHL Ironic comment: It was the *far-right* party that walked out, but Zelenskyy is a nazi.",en,Reply
Rebekah81USA,@KensingtonRoyal @FLOTUS @ZelenskaUA @RoyalFamily I’m sure Jill and Zelenskyy‘s wife are there to handover more children’s blood and children’s organs to the royal family so they all can partake in their satanic rituals,en,Reply
MarianneSofie2,"@anno1540 Ukraine was not important enough to care, till the AFU showed that  ruZZia maffia terrorist army  could be beaten, Zelenskyy, eastern NATO flank opened their mouths to the world and freaking out and they where finally heard. And we finally got a US president with some balls.",en,Reply
parsecCERN,"@TTorgeir @ZelenskyyUa Ugh ew, I don’t like Russia’s government at all and I don’t want Ukraine to fall, I just don’t like the way Zelenskyy is going to party’s and shopping with his wife, while his nation is burning. My insult was only towards him, not Ukraine.",en,Reply
AnastSkarla,@ChrisFitzMelb @Captbobdad @talkrealopinion there were no Russian troops just weapons to defend themselves from the neo nazi Azov... as I told you Russia should have had autonomy according to the MINSK agreement... but Zelenskyy regime had other plans...,en,Reply
disgruntled_v3t,"@AdamKinzinger War would be over for sure ... Zelenskyy would ask for money and be provided a bill for services rendered.  Trump wanted to charge NATO for providing defense, why wouldn't he charge Ukraine too?",en,Reply
mariejo667,"@Joanne60183156 The scary thing is that as Phoenician Royalty, Zelenskyy is actually doing a favour for the Saxe Coburg nee House of Wettin, who are newer heritage https://t.co/4oqmpGvO0Z",en,Reply
Chuckykickass,@GoldfishAlbino @jk_seriouslyjk @rawsalerts Why do I have a strange feeling the CCP and Zelenskyy are sharing the compromising information regarding the Biden crime family 🤔,en,Reply
LindaDoria13,"@maperettedm @RepGosar Ukraine wanted to join NATO, but they were still working at being a democracy.  Zelenskyy was elected to replace the corrupt previous govt and NATO was waiting for evidence that Ukraine was rid of its corruption prior to allowing it into NATO. It was on hold; then Russia invaded.",en,Reply
sbbmuud,"@ShimoniVanessa You’re a Jew and you support a Nazi like Trump? You do know that Zelenskyy is a Jew, right? He’d never lead a fascist country.",en,Reply
IMO123444,"@UK_Engineer_Mat @jacksonhinklle @GonzaloLira1968 Do you know how many of these are photoshopped. A ton!

Zelenskyy Swastika Jersey Pic is Fake https://t.co/IcS6OiNLQm",en,Reply
VCPNewz,"Zelenskyy and his office's head met with US Congress representatives: US politician born in Ukraine also present
https://t.co/kF7U111BuS",en,Tweet
56blackcat,"@JohnPSharpe What is your point? They are three strong women in their own right who happen to be married to prominent men 

Prince William was at the reception, POTUS wasn’t, &amp; President Zelenskyy is a bit busy fighting a war",en,Reply
poorarranger,"President Zelenskyy said, “The details of the creation of an investment fund to restore Ukraine's economy were discussed at a meeting with the management of the largest asset management company in the world, BlackRock."" https://t.co/4613Nrbu0i",en,Tweet
UsaJaun,"TV this week: Safe Home, Hannah Gadsby, Zelenskyy, The Muppets Mayhem and City on Fire
https://t.co/ZRJuqe4l5I",en,Tweet
JBrezsky,"@IgorKrein @MissMwambe @AyoCaesar If you want to find NAZIs , you use fake Jews (like you) as a cover. That way when people question about Azov, the reply given is : but Zelenskyy is Jewish!!",en,Reply
zeekamp77,@_rosegraham Zelenskyy has already done enough to warrant assass in ation.,en,Reply
JetFanPawRI,"@ClownWorld_ Are you stopping to pick up Zelenskyy, or is he meeting you there?",en,Reply
GVWire,"🇷🇺💥 🇺🇦  Russian Private Army Boss Threatens Pullout From Key Ukraine Battlefield 

#GVWire #News #Politics #WorldNews #Ukraine #Ukrainian #Zelenskyy #Kyiv #Odesa #Mariupol #Putin #Russia #Russian #Moscow #War #Invasion #Biden #Nuclear 

https://t.co/vVia7urZF4",en,Tweet
TimC_syd,"@Keeznuuts @JuliaDavisNews @TheRickWilson You can't claim ""free speech"" when giving target co-ordinates &amp; intel to the enemy. A traitor is enemy of the people, enemy of the state &amp; Zelenskyy knows it. There's no excuses for ppl in Ukr working for Ru.",en,Reply
highsider99,"@Haggis_UK And yet Volodymyr Zelenskyy is so popular, despite Putin....

Can't blame everything on Putin.

Just admit the @Conservatives are bad for this country. The truth is easier.",en,Reply
phaj1,"@jcokechukwu Why the excitement? If Zelenskyy is as weak as you guys always portray him, I guess he would have been dead. He will return to Kyiv and nothing will happen.",en,Reply
_kebabenjoyer,"@RobertKennedyJr Zelenskyy could not just say “I won’t join nato”. The course to nato is implemented in Ukrainian constitution, and put it out is not a simple thing",en,Reply
elisabethlehem,"so the plains were devastated by tornados and there’s some in FEMA camps after a week
jackson had no water 
our schools and cities are a wreck
GUESS WHO DIDN’T MISS A PAYCHECK THOUGH? ZELENSKYY",en,Tweet
naoyafujiwara,"ゼレンスキーは歩く死人

https://t.co/REELJqah4r

ゼレンスキーはウクライナをさらに完全な破壊へと追い込み、紛争の過程で殺されるか、同胞の手によって殺されるのは時間の問題だ。… https://t.co/CiVw638GHd",ja,Tweet
AmericaFirstFo4,@jilevin @GOP Says an account draped in a neo Nazi flag.  How did your lord Zelenskyy handle political opposition?,en,Reply
DamndItsGood,"@marcelbar8 @bvdschot Nee Zelenskyy uitnodigen voor de dodenherdenking van een oorlog tegen de Nazi's die de Russen ook ontelbare slachtoffers gekost heeft terwijl Oekraine een bedenkelijke rol gespeeld heeft in diezelfde oorlog dat is fatsoenlijk zeker?
Spugen op de slachtoffers en nakomelingen ishet",nl,Reply
Eidolon___,"@AlexTG @CRNICASMILITAR1 Si los rusos pudieran matar a Zelenskyy, no hubieran esperado hasta la ""gracia"" en cuestión. Lo hubieran hecho hace más de un año.",es,Reply
BlipsOnMyScreen,@Seatree12 @talkrealopinion 2) Zelenskyy is simply following his peoples wishes of closer ties to Europe and the West...Something Putin and his fellow Russians seem to be very butt hurt over...,en,Reply
GSwizzy47,@JoeBiden Are you donating to Ukraine because you want Zelenskyy to teach you how to be a good leader?,en,Reply
dlhype,@Bndpdler @stillgray Ukraine is a child trafficking hotspot. Obviously Hollywood and liberals would be there. Jeffery Epstein Is gone. Now they use Zelenskyy to do the dirty work.,en,Reply
KentuckyGoddess,"@TheClassicPhil Zelenskyy is not perfect, but he shouldn’t be compared to Putin, and called a dictator. He’s cleaning up the corruption, that happened under the Soviet Union, as well as the Putin installed presidents. I know, because I’ve been seeing it happening.

What my aunt told me. https://t.co/BIcT5QTnvN",en,Reply
Debbie48380,"@Gaurddog22 @DenisefromCali @odoacer493 It’s not a real war… Zelenskyy is never IN Ukraine he’s busy visiting everywhere else like Hollywood award shows, etc. it’s all a big money laundering scheme for DC bureaucrats to line their pockets with sympathy money. Ukraine is and always had been one of the most corrupt.",en,Reply
FreedomMom17,"@nhursky61 @dferrer520 @pegasoar1 @krassenstein Then why can’t they find millions of dollars that were sent to Ukraine?  It’s called money laundering!  They create a problem, through money at it, propagandise it and repeat. Money gets funneled back to the politicians. Why does Zelenskyy has a $35M home in Florida?",en,Reply
BossmanAsian,"@dgRed44 @merrillov3rturf @SameeraKhan If we’re drawing Iraq comparisons then if this was the U.S. fighting and not Russia, Zelenskyy would’ve been in a military prison by now.",en,Reply
JymEaglePatriot,"@still_pig @JoM1227 Yea, call is good buddies at Burisma or Zelenskyy!",en,Reply
