Screen Name,Text,Language,Tweet Type
TibetPeople,"@globaltimesnews #Russia #China contributing biggest disastrous in our time.

Its time for @IntlCrimCourt to issue a arrest warrant to biggest War Criminals #Russian Dictator #Putin &amp; Chinese Dictator #XiJinping killing millions of #Russians, #Ukrainians, #Chinese #Uyghurs &amp; #Tibetans 
 #SCO #UN https://t.co/vkZ8LYNgAY",en,Reply
TibetNews11,[Impara e implementa l'educazione tematica dell'ideologia socialista di #XiJinping con caratteristiche cinesi nella nuova era] Promuovi l'educazione tematica con lezioni di lettura di alta qualità per approfondire e approfondire https://t.co/nUbLxHXD6H,it,Tweet
xijinping_8964,@guyanmuchan001 挖你屁眼？ https://t.co/VgeFJsUxaO,ja,Reply
xijinping_8964,@yanxishequ @whyyoutouzhele 亲他？ https://t.co/1ZTDJpB04z,zh,Reply
xijinping_8964,"@EmmanuelMacron Betrayer of freedom and democracy,shame on you!",en,Reply
StratNewsGlobal,"Using Civilisation To Suppress Liberal Values, The Xi Jinping Way

🔗 https://t.co/S5cTWt5LPe

@SuryaGangadha13 @theChinaDude @TakshashilaInst #india #china #xijinping https://t.co/cx5KBiKOvb",en,Reply
xijinping_8964,@weibaitu1 @RFA_Chinese https://t.co/0tyTJEBqa5,und,Reply
xijinping_8964,@HzHch44 @RFA_Chinese 感谢匪党为韭菜指明翻墙通道,zh,Reply
xijinping_8964,@MinamiKotori_sz @RFA_Chinese 我们怀念你,zh,Reply
xijinping_8964,@banshengfu0 @Faustus_Pain @bbcchinese 好害怕 https://t.co/L0Rrv7r3gT,ja,Reply
H_Gibbs_Bauer,"#OPERATIONMERLINGUA
#USA                       : 
@JoeBiden 
#ATLANTICTRADINGPARTNERS:
@RishiSunak 
@EmmanuelMacron
@Bundeskanzler 
@GiorgiaMeloni 
@SanchezCastejon
@MinPres
#PACIFICTRADINGPARTNERS:
@NarendraModi
@Kishida230 
@President_KR 
@iIngWen 
@AlboMP 
#XiJinping",und,Reply
athulval1,"@InsightGL No!!
Just the Asuras ruling them!!
In 🇮🇳 there have been continuous massacres of dharmic people, does that mean he would have to fight 🇮🇳!!
CCP was created and controlled by the Deep State!!
Now It’s merely a XiJinping party!!
But population would perish due to karma and Kailash",en,Reply
HammerstoneMar3,$AAPL - Apple CEO Sees India at ‘Tipping Point’ as China Pivot Quickens #XiJinping  https://t.co/7QblYoTHX9,en,Tweet
reseau_internat,"En changeant la géopolitique sous-jacente du continent grâce à cette intégration commerciale, Pékin gagne un niveau de contrôle jamais vu au cours des mille dernières années
#Chine #ÉtatsUnis #Taïwan #XiJinping #multipolarité

https://t.co/afFE25W86S",fr,Tweet
Uneseulepierre,« Macron ou pas. Macron et la France ne sont pour le moment que des artéfacts qu’il faut faire disparaître » #Xijinping,fr,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　党的十八大以来，习近平总书记多次就乡村振兴发表重要讲话，强调要坚持走共同富裕道路，让大家的生活一年更比一年好。 https://t.co/Brn0fsxJ7M",zh,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　党的十八大以来，习近平总书记多次就乡村振兴发表重要讲话，强调要坚持走共同富裕道路，让大家的生活一年更比一年好。 https://t.co/HXpRPEbNcT",zh,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　党的十八大以来，习近平总书记多次就乡村振兴发表重要讲话，强调要坚持走共同富裕道路，让大家的生活一年更比一年好。 https://t.co/Oe4kuwf6sv",zh,Tweet
tanyitan1,"#习近平 #XiJinping #Jining学习时代
　　党的十八大以来，习近平总书记多次就乡村振兴发表重要讲话，强调要坚持走共同富裕道路，让大家的生活一年更比一年好。 https://t.co/NSYvpUBZve",zh,Tweet
Uneseulepierre,« #KamilaValieva est une perte de temps et d’argent. Foutez moi là dehors immédiatement ! » #Xijinping @CzarSays,fr,Tweet
LaurentOpsomer,#China’s latest attempt to rally the world against Western values https://t.co/8z583LETg9 via @htTweets #XiJinping #Diplomacy,en,Reply
Uneseulepierre,«Foutez-moi cette pute de 17 ans dehors avant que je m’énerve de nouveau sur votre Kremlin. Et calmez votre Lavrov avec les musulmans. Suis-je clair cette fois? »#Xijinping @MedvedevRussiaE @CzarSays @KremlinRussia_C,fr,Tweet
ConsulCubaSH,"Anasio que junto a Cuba, Shanghai esta dispuesta a implementar los consensos alcanzados por los presidentes @DiazCanelB y XiJinping. Con la guia de la iniciativa de la Franja y la Ruta de la Seda seguiremos promoviendo la cooperacion pragmatica hacia un nivel mas amplio.",es,Reply
xixue6617288,"#习近平 #XiJinping #Jining学习时代
中国星辰｜攻坚克难、追求卓越 习近平这样推动航天高质量发展 https://t.co/BnO0WmWSrG",zh,Tweet
protect_taiwan,Il ne manque plus que XiJinping et on aura tous les amis de Mélenchon sur la photo https://t.co/fgubfvK0kb,fr,Tweet
banshengfu0,@xijinping_8964 @Faustus_Pain @bbcchinese 把你先人道毁灭,zh,Reply
OmarMedawar,"остается надежда найти точку дипломатического сближения, чтобы положить конец этому конфликту в достоинстве всех воюющих сторон👇

https://t.co/qViDfeVNOW

@Kremlinpool_RIA @mfa_russia @USApoRusski @Elysee @MFA_Ukraine #XiJinping #NATO #droneattack #Russia #Ukraine️ #Bakhmut @FT https://t.co/56yCxf3IcZ",ru,Tweet
AVMagainstEVM,"@RCUpadhyay14 @Gabbar0099 Ha...Ha....

#ArmyMen speaking the term #RiceBag convert ? Ha...Ha....

How about speaking something like that about #XiJinping tagging @PMOIndia ?

Then, before you realize, YOU will be Cleaning #Chinese #Toilets in #ArunachalPradesh !

Which #ARMY you were ENLISTED ? #RSS ?",en,Reply
M0NKEL0VER,Maybe a nuclear holocaust isn't such a bad idea after all. You know what to do @Putin @KimJongUn @XiJinping. https://t.co/8gYTF9kQBr,en,Tweet
AnarchoTerran,Excess Bud Light caused by the #MAGA boycott is being diverted to China by #XiJinping as a solution to the high male to female ratio in China.,en,Tweet
